Lat;Lon;Title;contagios
-20.2203600;-70.1391300;Tarapacá;4
-23.6463741;-70.3980033;Antofagasta;19
-27.5571783;-70.0156882;Atacama;1
-30.7546652;-70.9005536;Coquimbo;12
-33.0458456;-71.6196749;Valparaíso;32
-33.4372;-70.6506;Metropolitana;682
-34.1708298;70.7444382;O’Higgins;11
-35.5972284;-71.48868;Maule;30
-36.6331577;-71.9384821;Ñuble;111
-37.3391407;-72.4106825;Biobío;95
-38.6710116;-72.2564576;Araucanía;74
-40.293129 ;-73.0816727;Los Ríos;11
-42.300844;-73.105387;Los Lagos;44
-46.1434629;-74.3648869;Aysén;1
-53.3527518;-71.5547782;Magallanes;13
-18.478518;-70.3210596;Arica;2
